Country,GDP,PopSize,Happiness-index,EconomicFreedom-index,PressFreedom-index,Education-index
Afghanistan,592.0,18356000.0,2523.0,53.0,40.19,0.414
Albania,5837.0,2187000.0,5117.0,65.2,30.59,0.746
Algeria,3638.0,27620000.0,4887.0,49.7,47.26,0.672
Argentina,9929.0,30799000.0,5929.0,52.7,28.99,0.855
Armenia,4595.0,2176000.0,5283.0,71.9,28.83,0.74
Australia,62619.0,19159000.0,7183.0,82.4,19.79,0.924
Austria,53793.0,7271000.0,7268.0,73.9,16.34,0.865
Azerbaijan,5167.0,7155000.0,5171.0,70.1,58.77,0.711
Bahrain,26294.0,1318000.0,6647.0,69.9,61.1,0.769
Bangladesh,2139.0,106060000.0,5025.0,56.5,49.71,0.529
Belarus,7032.0,7367000.0,5534.0,61.0,50.82,0.838
Belgium,50413.0,8993000.0,6834.0,70.1,11.69,0.902
Benin,1447.0,5839000.0,5045.0,59.6,38.18,0.478
Bolivia,3267.0,7088000.0,5716.0,42.7,35.47,0.695
Botswana,7350.0,1358000.0,3467.0,67.6,23.25,0.6759999999999999
Brazil,7741.0,153307000.0,6330.0,53.4,36.25,0.6940000000000001
Bulgaria,11332.0,5586000.0,5266.0,70.4,37.29,0.779
Burkina Faso,926.0,9480000.0,4834.0,56.5,23.17,0.312
Burundi,261.0,5381000.0,3775.0,49.9,47.57,0.417
Cambodia,1647.0,10180000.0,4830.0,57.3,46.84,0.484
Cameroon,1646.0,12716000.0,5142.0,53.4,43.78,0.547
Canada,52791.0,29934000.0,7103.0,77.9,15.25,0.894
Chad,730.0,7059000.0,4355.0,50.4,40.2,0.28800000000000003
Chile,16799.0,14259000.0,6172.0,75.2,27.89,0.81
China,11891.0,1104956000.0,5339.0,58.4,78.72,0.657
Colombia,5892.0,35612000.0,6012.0,68.1,43.74,0.682
Comoros,1390.0,447000.0,4289.0,55.7,30.65,0.482
Congo,2656.0,2707000.0,5342.0,49.0,38.83,0.5429999999999999
Costa Rica,11860.0,3696000.0,7069.0,64.2,8.76,0.726
Croatia,15808.0,3303000.0,5882.0,63.6,27.95,0.805
Cyprus,29486.0,679000.0,6223.0,71.4,19.85,0.8270000000000001
Czech Republic,25806.0,8528000.0,6965.0,73.8,23.38,0.89
Denmark,67920.0,4557000.0,7620.0,77.8,8.57,0.92
Ecuador,5884.0,11361000.0,5764.0,52.4,32.83,0.7020000000000001
Egypt,3852.0,59547000.0,4283.0,55.7,56.17,0.618
El Salvador,4244.0,4201000.0,6061.0,61.0,30.49,0.555
Estonia,27101.0,1044000.0,6189.0,78.2,15.25,0.882
Ethiopia,940.0,57104000.0,4275.0,51.7,33.63,0.341
Finland,53523.0,4373000.0,7842.0,76.1,6.99,0.927
France,45028.0,49967000.0,6690.0,65.7,22.6,0.8170000000000001
Gabon,8569.0,1216000.0,4852.0,58.1,38.6,0.65
Gambia,819.0,1115000.0,5051.0,58.8,30.76,0.406
Georgia,4808.0,2959000.0,4891.0,77.2,28.64,0.862
Germany,50788.0,68015000.0,7155.0,72.5,15.24,0.943
Ghana,2413.0,16617000.0,5088.0,59.2,21.33,0.563
Greece,19827.0,8462000.0,5723.0,60.9,29.01,0.8490000000000001
Guinea,1168.0,6078000.0,4984.0,56.5,35.42,0.354
Haiti,1692.0,6621000.0,3615.0,50.8,31.12,0.456
Hungary,18528.0,7769000.0,5992.0,67.2,31.76,0.821
Iceland,68844.0,255000.0,7554.0,77.4,15.37,0.926
India,2116.0,900443000.0,3819.0,56.5,46.56,0.555
Indonesia,4225.0,180782000.0,5345.0,66.9,37.4,0.65
Iran,12725.0,57987000.0,4721.0,47.2,72.7,0.7559999999999999
Ireland,102394.0,3619000.0,7085.0,81.4,11.91,0.922
Israel,49840.0,5626000.0,7157.0,73.8,30.9,0.883
Italy,35585.0,49746000.0,6483.0,64.9,23.39,0.7929999999999999
Jamaica,5422.0,2041000.0,6309.0,69.0,9.96,0.6890000000000001
Japan,40704.0,104953000.0,5940.0,74.1,28.88,0.851
Jordan,4394.0,5866000.0,4395.0,64.6,42.89,0.667
Kazakhstan,10145.0,12226000.0,6152.0,71.1,50.28,0.83
Kenya,2199.0,27473000.0,4607.0,54.9,33.65,0.534
Kuwait,27927.0,3146000.0,6106.0,64.1,34.36,0.638
Kyrgyzstan,1225.0,3927000.0,5744.0,63.7,30.37,0.73
Laos,2626.0,4288000.0,5030.0,53.9,70.56,0.481
Latvia,19539.0,1477000.0,6032.0,72.3,19.26,0.883
Lebanon,2785.0,4548000.0,4584.0,51.4,34.93,0.604
Lesotho,1188.0,1243000.0,3512.0,53.5,31.61,0.532
Liberia,703.0,2502000.0,4625.0,49.2,33.36,0.426
Lithuania,22412.0,2166000.0,6255.0,76.9,20.15,0.898
Luxembourg,131302.0,498000.0,7324.0,76.0,17.56,0.8059999999999999
Madagascar,499.0,13812000.0,4208.0,57.7,28.24,0.486
Malawi,566.0,8887000.0,3600.0,53.0,28.8,0.47
Malaysia,11125.0,22315000.0,5384.0,74.4,39.47,0.726
Maldives,11899.0,409000.0,5198.0,55.2,29.13,0.573
Mali,966.0,8625000.0,4723.0,55.6,33.5,0.28600000000000003
Malta,31997.0,358000.0,6602.0,70.2,30.46,0.825
Mauritania,2161.0,2370000.0,4227.0,56.1,32.25,0.396
Mauritius,8682.0,968000.0,6049.0,77.0,28.74,0.736
Mexico,9967.0,85136000.0,6317.0,65.5,46.71,0.703
Moldova,4792.0,3188000.0,5766.0,62.5,31.61,0.711
Mongolia,4186.0,2053000.0,5677.0,62.4,28.97,0.736
Montenegro,8838.0,476000.0,5581.0,63.4,34.33,0.8029999999999999
Morocco,3471.0,24654000.0,4918.0,63.3,43.94,0.569
Mozambique,492.0,14186000.0,4794.0,51.6,35.39,0.395
Myanmar,1246.0,35734000.0,4426.0,55.2,46.14,0.464
Namibia,4694.0,1375000.0,4574.0,62.6,19.72,0.584
Nepal,1173.0,17887000.0,5269.0,50.7,34.62,0.521
Netherlands,57715.0,13462000.0,7464.0,76.8,9.67,0.914
New Zealand,48349.0,3600000.0,7277.0,83.9,10.04,0.926
Nicaragua,2047.0,4107000.0,5972.0,56.3,39.98,0.573
Niger,622.0,9739000.0,5074.0,57.3,28.44,0.249
Nigeria,2273.0,95931000.0,4759.0,58.7,39.69,0.499
Norway,82244.0,4184000.0,7392.0,73.4,6.72,0.93
Pakistan,1255.0,123522000.0,4934.0,51.7,46.86,0.402
Panama,13861.0,2843000.0,6180.0,66.2,29.94,0.7
Paraguay,5028.0,4454000.0,5653.0,62.6,33.52,0.638
Peru,6677.0,22530000.0,5840.0,67.7,31.71,0.74
Philippines,3492.0,66960000.0,5880.0,64.1,45.64,0.6779999999999999
Poland,17318.0,30315000.0,6166.0,69.7,28.84,0.8690000000000001
Portugal,24457.0,8339000.0,5929.0,67.5,10.11,0.768
Romania,14864.0,15208000.0,6140.0,69.5,24.91,0.765
Russia,11273.0,111845000.0,5477.0,61.5,48.71,0.823
Rwanda,802.0,6581000.0,3415.0,68.3,50.66,0.458
Saudi Arabia,23762.0,24186000.0,6494.0,66.0,62.73,0.789
Senegal,1603.0,7975000.0,5132.0,58.0,25.22,0.345
Serbia,8794.0,5480000.0,6078.0,67.2,32.03,0.7829999999999999
Sierra Leone,541.0,3937000.0,3849.0,51.7,29.61,0.406
Singapore,66263.0,4887000.0,6377.0,89.7,55.2,0.8440000000000001
Slovakia,21383.0,4346000.0,6331.0,66.3,23.02,0.826
Slovenia,28939.0,1672000.0,6461.0,68.3,23.1,0.91
South Africa,6861.0,37590000.0,4956.0,59.7,21.59,0.7240000000000001
South Korea,35196.0,42490000.0,5845.0,74.0,23.43,0.865
Spain,30537.0,37798000.0,6491.0,69.9,20.44,0.831
Sri Lanka,3666.0,14732000.0,4325.0,55.7,42.2,0.746
Sweden,58639.0,7794000.0,7363.0,74.7,7.24,0.918
Switzerland,93515.0,6958000.0,7571.0,81.9,10.55,0.9
Tajikistan,839.0,5227000.0,5466.0,55.2,55.52,0.682
Tanzania,1159.0,27744000.0,3623.0,61.3,40.69,0.429
Thailand,7809.0,54054000.0,5985.0,69.7,45.22,0.682
Togo,1000.0,4084000.0,4107.0,57.5,29.59,0.517
Tunisia,3556.0,8207000.0,4596.0,56.6,29.53,0.6609999999999999
Turkey,9407.0,57768000.0,4948.0,64.0,49.79,0.731
Turkmenistan,8844.0,3722000.0,5066.0,47.4,80.03,0.653
Uganda,1018.0,19830000.0,4636.0,58.6,41.19,0.523
Ukraine,4384.0,34639000.0,4875.0,56.2,32.96,0.799
United Arab Emirates,43538.0,8053000.0,6561.0,76.9,43.13,0.802
United Kingdom,46200.0,52568000.0,7064.0,78.4,21.59,0.928
United States,69375.0,249969000.0,6951.0,74.8,23.93,0.9
Uruguay,16965.0,2530000.0,6431.0,69.3,16.38,0.765
