 Area,    sigArea, Volume,  sigVolume
 2.44922, 0.02758, 0.10127, 0.01091
 2.48328, 0.03630, 0.10776, 0.00834
 1.54516, 0.02648, 0.04989, 0.00349
 2.45672, 0.03140, 0.06795, 0.00104
 1.45687, 0.02270, 0.03490, 0.00312
 3.12391, 0.04752, 0.14676, 0.01344
 2.98703, 0.04598, 0.20467, 0.01584
 1.69062, 0.02255, 0.05190, 0.00144
 1.29063, 0.01934, 0.05153, 0.00898
 2.90281, 0.03187, 0.16456, 0.01641
18.91937, 0.20497, 1.78503, 0.10639
 2.35172, 0.03046, 0.10884, 0.00541
 5.74797, 0.07634, 0.32308, 0.02061
 1.71516, 0.01820, 0.08632, 0.00955
 1.50000, 0.02219, 0.07614, 0.01506
 2.24109, 0.02928, 0.06825, 0.00442
 8.82688, 0.10086, 0.56774, 0.02496
 4.54516, 0.05289, 0.23941, 0.00895
 1.81703, 0.02016, 0.06734, 0.00865
 3.47656, 0.04204, 0.18753, 0.01374
 1.70547, 0.02073, 0.05420, 0.00531
 2.47844, 0.03582, 0.09548, 0.01105
 2.44844, 0.02923, 0.13150, 0.01272
 1.28188, 0.01646, 0.03697, 0.00618
 3.11219, 0.03023, 0.15295, 0.00982
 2.05078, 0.02491, 0.10998, 0.01162
 2.07812, 0.03008, 0.06982, 0.00762
 2.29953, 0.02711, 0.10701, 0.01402
 1.16984, 0.01592, 0.02853, 0.00188
 1.01250, 0.01754, 0.02941, 0.00383
 1.35109, 0.01568, 0.05312, 0.00793
 2.26375, 0.02773, 0.08072, 0.01095
 1.77328, 0.02386, 0.06721, 0.00647
 4.57844, 0.05839, 0.25292, 0.04032
 1.69891, 0.02381, 0.06256, 0.01128
 3.47063, 0.03966, 0.24438, 0.02752
 2.48203, 0.02688, 0.13697, 0.01820
 3.90922, 0.04148, 0.21572, 0.03238
 1.84437, 0.02130, 0.09896, 0.01436
 3.44953, 0.04807, 0.20754, 0.01541
 1.49484, 0.01824, 0.06762, 0.00610
 3.29766, 0.04726, 0.14010, 0.00819
 1.27031, 0.01796, 0.04924, 0.00717
 3.83203, 0.04567, 0.17863, 0.03883
 1.44594, 0.01897, 0.06504, 0.00892
 2.51781, 0.03076, 0.10568, 0.00691
 3.14016, 0.03411, 0.12569, 0.01138
 2.00031, 0.02854, 0.06778, 0.01163
 3.86594, 0.03903, 0.22376, 0.02100
 1.50406, 0.02092, 0.05001, 0.00429
 2.33375, 0.03422, 0.11305, 0.01974
 2.89625, 0.03657, 0.11012, 0.02365
 1.11781, 0.01471, 0.04855, 0.00336
 1.15109, 0.01705, 0.04157, 0.00547
 1.54984, 0.01824, 0.06663, 0.00347
 2.69172, 0.02874, 0.14747, 0.01187
 1.72781, 0.02075, 0.06762, 0.00534
 1.44469, 0.01623, 0.05912, 0.00233
 1.19547, 0.01470, 0.04670, 0.00654
 1.69422, 0.02324, 0.08681, 0.00752
 1.83156, 0.02586, 0.07842, 0.00583
 1.36797, 0.01983, 0.04135, 0.00897
 1.13094, 0.01402, 0.04943, 0.00703
 6.79078, 0.08328, 0.48029, 0.03405
 1.43906, 0.01952, 0.06173, 0.00526
 1.91516, 0.02020, 0.06693, 0.00228
 1.75031, 0.02258, 0.06557, 0.00803
 1.34688, 0.01398, 0.04615, 0.00306
 9.99031, 0.12148, 0.77775, 0.05690
 1.46516, 0.01725, 0.06079, 0.00625
 1.01797, 0.01448, 0.03856, 0.00435
 5.74000, 0.06997, 0.40243, 0.02246
 1.23953, 0.02190, 0.03557, 0.00215
 1.20719, 0.01872, 0.04113, 0.00480
 1.86844, 0.02324, 0.06435, 0.00622
 9.13422, 0.10779, 0.55737, 0.11071
 1.19047, 0.01418, 0.04189, 0.00385
17.80969, 0.21310, 1.85277, 0.12916
 1.53703, 0.01634, 0.06945, 0.00652
 2.65422, 0.03018, 0.12345, 0.01076
 1.46672, 0.01689, 0.05623, 0.00587
 4.12500, 0.05466, 0.18867, 0.01814
 1.15938, 0.01405, 0.03776, 0.00094
 4.20656, 0.04504, 0.31902, 0.02360
 2.50516, 0.02692, 0.14147, 0.02142
 3.05891, 0.03291, 0.21703, 0.03850
 1.81969, 0.02451, 0.07491, 0.01033
 1.13328, 0.01522, 0.04197, 0.00260
 2.38203, 0.02898, 0.09963, 0.00904
 2.17797, 0.02268, 0.11816, 0.02339
 1.11984, 0.01662, 0.04538, 0.00723
 2.56625, 0.02970, 0.15697, 0.02647
 1.04422, 0.01590, 0.03285, 0.00369
 8.40531, 0.10704, 0.54383, 0.04252
