30cm_Ruler_m 30cm_Unc_m 2m_Ruler_m 2m_Unc_m
-------------------------------------------
3.092 0.005 3.363 0.003
3.057 0.005 3.363 0.005
3.382 0.020 3.367 0.005
3.363 0.012 3.364 0.006
3.391 0.050 3.364 0.030
3.371 0.008 3.363 0.012
3.371 0.115 3.367 0.020
3.362 0.112 4.564 0.023
3.300 0.099 3.360 0.001
3.380 0.120 3.370 0.020
3.370 0.030 3.355 0.005
3.363 0.022 3.365 0.004
4.305 0.260 3.340 0.270
3.344 0.060 3.367 0.010
3.745 0.100 3.343 0.010
3.185 0.100 3.369 0.002
3.398 0.033 3.354 0.013
3.366 0.006 3.336 0.001
3.041 0.015 3.364 0.003
3.350 0.010 3.360 0.005
3.368 0.003 3.365 0.002
3.260 0.050 3.180 0.020
2.575 0.090 3.365 0.010
3.354 0.005 3.365 0.002
3.350 0.010 3.360 0.010
3.105 0.400 3.372 0.010
3.368 0.023 3.402 0.050

